smiles, karl_weight
[*]C1C(=[*])C(=[*])C2([*])CC([*])([*])CC1([*])C2,54
[*]C1=C([*])N([*])C([*])C1=[*],31
[*]C1CCCC([*])C1,36
[*]C1[NH+]([*])CCC1([*])[*],31
[*]C1OC(=[*])C(=[*])OC1[*],40
[*]N1CCC(=[*])CC1=[*],37
[*]C1=CN([*])S(=[*])(=[*])N=C1[*],48
[*][N+]([*])([*])F,16
[*]C1CC(=[*])C(=[*])C[NH+]1[*],37
[*]C1([*])COC(=[*])C(=[*])C(=[*])N1,45
[*]c1ccc([*])[n+]([*])n1,38
[*]N1C[N-]S(=[*])(=[*])C(=[*])C1=[*],48
[*]C1([*])COC(=[*])C(=[*])C1=[*],38
[*][NH+]1COC(=[*])C(=[*])C1,39
[*]C1=[NH+]C(=[*])C(=[*])C(=[*])O1,39
[*]C1=CCCCCC([*])=C1[*],48
[*]C([*])C([*])[*],12
[*]C1=C([*])C(=[*])C=CN1,37
[*]C1=[NH+]C(=[*])C([*])C([*])=C1[*],37
[*]C1=C([*])C(=[*])OCCO1,46
[*]N1CCCN([*])C([*])([*])C1,44
[*]C1=C([*])C(=[*])OC([*])([*])C1,38
[*]C1CCC([*])O1,32
[*]c1[nH+]nn([*])c1[*],33
[*]C1CNCC(=[*])C1=[*],37
[*]C1=NC([*])([*])N([*])C1=[*],32
[*]C1([*])OC(=[*])CCC1=[*],38
[*]=C1C(=[*])C2CCC1C(=[*])C2=[*],48
[*]C1=NN([*])C([*])C1=[*],32
[*]C1=C([*])CS(=[*])(=[*])C1,40
[*]C1=NN([*])C(=[*])SC1,48
[*]c1nc[nH]c1[*],32
[*][NH+]1CC[NH2+]CC1,38
[*]c1nsc(=[*])c1=[*],41
[*]c1cc([*])[nH+]c([*])c1,37
[*]C1[NH2+]CCC([*])S(=[*])(=[*])C1[*],53
[*]C1=CC(=[*])NC([*])N1[*],38
[*]C1=CCC([*])([*])CC1,36
[*]c1nn([*])c[n+]1[*],33
[*]C1CS(=[*])(=[*])C(=[*])N1[*],41
[*]C1N([*])C(=[*])C1([*])[*],25
[*]C1C(=[*])CCNC1([*])[*],37
[*]C1=C([*])C(=[*])[N+]([*])=CN1,38
[*]C1=NC(=[*])C([*])C([*])([*])N1,38
[*]C1=[NH+]CCC1,31
[*]C1=CC(=[*])C(=[*])C(=[*])N1[*],37
[*]C1=NOC([*])N1,34
[*]C1CCCC(=[*])C1([*])[*],36
[*]S(=[*])C=[*],22
[*]C1=CC=CC([*])C1[*],36
[*]C1C[NH2+]CCCCO1,51
[*]C1=C([*])NC(=[*])C1,31
[*]C1=NNC([*])N1[*],33
[*]C1NNC([*])N1[*],33
[*]C1=C([*])N([*])C(=[*])CCC1,43
[*]C1=NSC([*])N1,42
[*]C1=CCC([*])=C([*])C=C1,42
[*]c1cc2c([*])cc1CSCc1cccc(n1)CSC2,129
[*]C1=C([*])C(=[*])N([*])C([*])=C([*])N1,44
[*]N=S([*])[*],23
[*]C1=[N+]([*])C([*])CS1,41
[*]C1CC(=[*])CS1,40
[*]C1=NC(=[*])C(=[*])NC([*])=C1[*],44
[*]c1[nH+]ccs1,41
[*]C1C2CC(C1[*])C([*])([*])C2,42
[*]C1=[NH+]C([*])NC(=[*])N1,39
[*]C1CC[NH2+]C1,31
[*]C1SCCN1[*],41
[*]C1=NC([*])([*])NC([*])C1,38
[*]C1CC([*])([*])C([*])CC([*])([*])C1[*],42
[*]CC=[*],12
[*]C1C([*])S(=[*])(=[*])C1([*])[*],34
[*]C1NC(=[*])CC([*])N([*])C1=[*],44
[*]c1coc(=[*])c1=[*],32
[*][N-]C([*])=[*],13
[*][NH+]1CCCNCC1,44
[*]c1cn([*])c([*])[nH+]1,32
[*]C1=NC([*])=C([*])C1,31
[*]C1=C([*])CCCCC1,42
[*]c1c[nH+]cn1[*],32
[*]C1C(=[*])C(=[*])C(=[*])S(=[*])(=[*])C1[*],46
[*]C1=CC([*])=C([*])OC1,38
[*]=CI,59
[*]C1=NN([*])C(=[*])N([*])C1,39
[*]C1=C([*])CC([*])OC1,38
[*]C1CCCCC(=[*])C1=[*],42
[*]C1CCC(=[*])C([*])C1([*])[*],36
[*]C1=C([*])N([*])C(=[*])C(=[*])C1=[*],37
[*]C1=CCCCCC1,42
